step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
780.0,435,7499.0,10.147496617050068,2.40427685477958,435,55837.0,0.13422695688135894,435,55837.0
785.0,413,7942.0,10.63186077643909,2.399533607209117,413,55884.0,0.13691501813341508,413,55884.0
790.0,417,8734.0,11.552910052910052,2.3391355497432693,417,57966.0,0.13562644379385333,417,57966.0
795.0,430,9744.0,12.737254901960783,2.265571013352228,430,60083.0,0.12733244313548198,430,60083.0
800.0,448,11077.0,14.256113256113256,2.1363665346646825,448,62302.0,0.12144493127672211,448,62302.0
805.0,467,12655.0,15.938287153652393,2.175342980456906,467,64381.0,0.12671214511285644,467,64381.0
810.0,468,14050.0,17.453416149068325,2.119221805230706,468,64797.0,0.12459565641984378,468,64797.0
815.0,480,15790.0,19.30317848410758,2.150625806187768,480,65869.0,0.12375189734787002,480,65869.0
820.0,495,17649.0,21.263855421686745,2.350262375845552,495,65982.0,0.1293323296403758,495,65982.0
825.0,514,19169.0,22.79310344827586,2.386480375673537,514,68104.0,0.12441224027658374,514,68104.0
830.0,505,18540.0,21.760563380281692,2.4425479720918624,505,67218.0,0.12730189628433564,505,67218.0
835.0,502,18756.0,21.633217993079583,2.4069603612813055,502,69650.0,0.12364925451054037,502,69650.0
840.0,488,18440.0,20.954545454545453,2.388679843036322,488,70064.0,0.11867676569191006,488,70064.0
845.0,474,18748.0,21.041526374859707,2.4896838450344227,474,71176.0,0.12214258328277902,474,71176.0
850.0,480,18882.0,21.00333704115684,2.4231070899499287,480,73581.0,0.11762253673444849,480,73581.0
855.0,483,19132.0,21.093715545755238,2.353980598289708,483,75689.0,0.10889844852426137,483,75689.0
860.0,492,19636.0,21.36670293797606,2.2882735455323457,492,78091.0,0.10562686707176093,492,78091.0
865.0,487,19342.0,20.730975348338692,2.285918043045338,487,77015.0,0.10614405158831033,487,77015.0
870.0,486,18610.0,19.734888653234357,2.273661271102059,486,79447.0,0.10557091770572491,486,79447.0
875.0,497,18271.0,19.212407991587803,2.247166451384189,497,81711.0,0.10741646045910049,497,81711.0
880.0,509,18325.0,19.22875131164743,2.0426008745557045,509,83888.0,0.09672389624532086,509,83888.0
885.0,520,16903.0,17.644050104384135,1.818786117640939,520,85955.0,0.08462514910012778,520,85955.0
890.0,537,16119.0,16.720954356846473,1.6714655398424123,537,88623.0,0.08039065567644169,537,88623.0
895.0,548,15649.0,16.199792960662524,1.6393939851782584,548,90992.0,0.08423800459281734,548,90992.0
